Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000048878,Hexim1,protein-coding,3.10132,4.096939,4.572578
ENSMUSG00000040856,Dlk1,protein-coding,4.028579,4.054123,7.657075
ENSMUSG00000039887,Alg14,protein-coding,6.860827,6.687704,8.26882
ENSMUSG00000025246,Tbl1x,protein-coding,3.142079,1.606446,2.292498
ENSMUSG00000026797,Stxbp1,protein-coding,4.63205,9.269956,7.844963
ENSMUSG00000033276,Stk36,protein-coding,3.823473,-0.545896,4.27253
ENSMUSG00000052337,Immt,protein-coding,4.712068,2.85118,4.653371
ENSMUSG00000001168,Oas1h,protein-coding,3.347185,0.149094,2.961585
ENSMUSG00000038007,Acer2,protein-coding,6.10715,8.694412,10.374156
ENSMUSG00000022261,Sdc2,protein-coding,5.923992,3.173976,0.104534
ENSMUSG00000062376,Borcs7,protein-coding,2.940525,4.386128,5.475553
,Gm21057,ncRNA,3.782714,4.330487,6.637628
ENSMUSG00000056735,A930024E05Rik,ncRNA,3.083548,6.937946,7.833175
ENSMUSG00000046971,Pla2g4f,protein-coding,8.556234,5.746749,7.317211
ENSMUSG00000066097,Cyp2j11,protein-coding,4.618299,3.744063,4.134155
,Olfr69,protein-coding,2.940525,0.831806,5.54818
ENSMUSG00000030029,Lrig1,protein-coding,2.347644,2.462075,1.475261
,Gm5,ncRNA,7.655653,4.771641,6.804711
ENSMUSG00000078675,Mup16,protein-coding,3.029037,1.776353,5.815417
ENSMUSG00000062647,Rpl7a,protein-coding,8.409329,4.300585,6.317845
ENSMUSG00000042198,Chchd7,protein-coding,5.37187,2.525415,4.262529
ENSMUSG00000041396,Mettl18,protein-coding,4.028579,5.75927,4.645896
,BC039966,ncRNA,5.371975,8.163422,8.254799
ENSMUSG00000072721,Klra14-ps,pseudo,3.727739,1.788095,2.557426
ENSMUSG00000035778,Ggta1,protein-coding,2.886743,2.196602,6.495028
ENSMUSG00000076456,Mir760,ncRNA,5.331216,4.666135,2.807124
ENSMUSG00000033706,Smyd5,protein-coding,6.179433,7.149494,8.45763
ENSMUSG00000098790,Mir6942,ncRNA,5.167915,6.736598,7.844963
ENSMUSG00000077941,Mir466h,ncRNA,4.026178,1.73236,4.386134
ENSMUSG00000072923,Gm10439,protein-coding,8.300898,6.847682,8.113497
ENSMUSG00000108072,Gm20362,ncRNA,3.046451,0.716306,4.720764
ENSMUSG00000026166,Ccl20,protein-coding,6.10715,7.039821,8.137848
ENSMUSG00000034640,Tiparp,protein-coding,3.083548,1.596277,5.314662
ENSMUSG00000084826,AI847159,ncRNA,2.886743,3.323414,4.645896
ENSMUSG00000074916,Chst14,protein-coding,4.63205,7.964075,4.006416
ENSMUSG00000035845,Alg12,protein-coding,3.878374,10.145622,10.874911
ENSMUSG00000070128,Mir485,ncRNA,6.860722,5.255646,1.805216
ENSMUSG00000051238,Swsap1,protein-coding,5.921591,9.027422,8.629461
ENSMUSG00000039252,Lgi2,protein-coding,1.720758,4.064591,4.567107
ENSMUSG00000020895,Tmem107,protein-coding,5.425652,4.799574,4.735377
ENSMUSG00000039601,Rcan2,protein-coding,2.366004,0.063547,1.852628
,4930455J16Rik,ncRNA,5.331216,4.857188,2.804238
,Amy2a5,protein-coding,3.823368,4.680101,1.816123
ENSMUSG00000002803,Btbd6,protein-coding,5.924097,4.387591,7.865028
ENSMUSG00000026669,Mcm10,protein-coding,2.200634,2.186741,4.307345
ENSMUSG00000038092,Hsd3b5,protein-coding,5.331216,7.013333,3.602624
ENSMUSG00000042105,Inpp5f,protein-coding,5.371975,2.285795,1.698208
ENSMUSG00000021253,Tgfb3,protein-coding,1.579085,-0.155278,0.218573
ENSMUSG00000050366,Olfr524,protein-coding,5.170421,5.580037,7.977205
ENSMUSG00000004558,Ndrg2,protein-coding,10.786129,6.927786,9.169808
ENSMUSG00000032093,Cd3e,protein-coding,5.170421,4.608521,6.159925
ENSMUSG00000030683,Sez6l2,protein-coding,5.425652,1.86397,0.932895
ENSMUSG00000063514,Gm6756,pseudo,8.406823,5.740131,6.9335
ENSMUSG00000034723,Tmx4,protein-coding,3.782714,-0.473317,-0.055979
ENSMUSG00000078925,D030018L15Rik,pseudo,3.10132,1.738073,4.028916
ENSMUSG00000050270,Tmem220,protein-coding,4.028579,0.516601,0.491392
ENSMUSG00000019437,Tlcd1,protein-coding,1.720758,2.044289,3.341002
ENSMUSG00000031626,Sorbs2,protein-coding,2.499072,3.638556,3.6101
ENSMUSG00000041583,Obox6,protein-coding,0.214203,0.321356,-0.175987
ENSMUSG00000024957,Kcnk4,protein-coding,6.222431,5.787414,5.213064
ENSMUSG00000098754,Prn,protein-coding,3.091954,-0.862422,1.502927
ENSMUSG00000086264,Gm15850,ncRNA,7.655653,13.524082,12.320252
ENSMUSG00000021335,Slc17a1,protein-coding,7.653147,7.289214,5.049688
ENSMUSG00000030452,Nipa2,protein-coding,2.471929,2.104077,1.929163
ENSMUSG00000032086,Bace1,protein-coding,2.940525,3.323414,4.920012
ENSMUSG00000025592,Dach2,protein-coding,5.371975,1.137742,5.050984
ENSMUSG00000034518,Hmgxb4,protein-coding,2.886743,2.200335,2.440578
ENSMUSG00000021903,Galnt15,protein-coding,8.300898,6.940655,8.113497
,Dlx4,protein-coding,2.132962,3.218854,5.951972
ENSMUSG00000012042,4930579F01Rik,protein-coding,3.029037,0.105577,1.108277
ENSMUSG00000057699,Tas2r131,protein-coding,5.331216,4.593775,5.484614
ENSMUSG00000016756,Cmah,protein-coding,6.860722,4.324115,5.244917
ENSMUSG00000031278,Acsl4,protein-coding,6.860722,6.273828,7.573413
ENSMUSG00000027654,Fam83d,protein-coding,1.579085,1.286005,2.8633
ENSMUSG00000031948,Kars,protein-coding,7.506072,3.82616,4.699349
ENSMUSG00000027955,Fam198b,protein-coding,7.653147,2.812642,4.184599
ENSMUSG00000095132,Rnu6,snRNA,0.649731,5.841934,6.677914
ENSMUSG00000026331,Slco6c1,protein-coding,6.752396,3.38038,2.420871
ENSMUSG00000000787,Ddx3x,protein-coding,3.782714,2.485822,1.502927
ENSMUSG00000024411,Aqp4,protein-coding,3.727844,6.365111,6.322021
ENSMUSG00000079471,Gm7325,protein-coding,10.786129,9.835562,10.874911
ENSMUSG00000026749,Nek6,protein-coding,9.237627,-0.888981,5.290681
ENSMUSG00000051497,Kcnj16,protein-coding,6.860722,4.933167,3.586874
ENSMUSG00000045098,Suv420h1,protein-coding,4.026178,4.733693,7.397313
ENSMUSG00000027409,1700020A23Rik,protein-coding,8.556234,6.05212,8.861422
ENSMUSG00000036980,Taf6,protein-coding,3.10132,3.569742,5.151863
ENSMUSG00000095234,Gm21586,protein-coding,2.200739,6.616326,7.081706
ENSMUSG00000027180,Fbxo3,protein-coding,2.539727,0.185343,2.24904
ENSMUSG00000021973,Micu2,protein-coding,2.198233,-0.794549,0.590019
ENSMUSG00000024346,Pfdn1,protein-coding,3.694202,8.131043,7.436859
,2010204K13Rik,ncRNA,9.991304,9.730701,5.627858
ENSMUSG00000031446,Cul4a,protein-coding,9.237627,3.536439,5.290681
ENSMUSG00000006014,Prg4,protein-coding,3.782714,2.812642,2.179878
ENSMUSG00000031209,Heph,protein-coding,6.176928,7.173955,8.45763
ENSMUSG00000029169,Dhx15,protein-coding,9.237627,2.646897,5.564797
ENSMUSG00000028845,Tekt2,protein-coding,6.752396,4.483323,4.853736
ENSMUSG00000003847,Nfat5,protein-coding,6.104645,6.667744,6.29619
,AU015228,protein-coding,8.409329,10.037012,10.633918
ENSMUSG00000096826,Ccl27b,protein-coding,5.423251,6.833504,8.104725
ENSMUSG00000005510,Ndufs3,protein-coding,5.423251,2.105729,5.568972
ENSMUSG00000030731,Syt3,protein-coding,5.923992,5.341192,6.145905
ENSMUSG00000023232,Serinc2,protein-coding,9.30991,1.523255,1.549875
ENSMUSG00000045797,4930402K13Rik,protein-coding,3.344784,5.276316,6.427163
ENSMUSG00000034518,Hmgxb4,protein-coding,4.63205,3.294834,4.439587
ENSMUSG00000095852,Gm10256,protein-coding,3.344784,3.013353,3.563364
ENSMUSG00000028821,Syf2,protein-coding,3.11968,3.638556,4.123631
ENSMUSG00000053716,Dusp7,protein-coding,3.10132,4.561153,6.024961
ENSMUSG00000048693,Olfr435,protein-coding,2.347644,3.454083,2.621011
ENSMUSG00000026394,Atp6v1g3,protein-coding,2.499072,4.324115,5.244917
ENSMUSG00000100199,Gm20324,ncRNA,2.886638,5.017023,6.427163
ENSMUSG00000029394,Cdk2ap1,protein-coding,3.163566,1.562142,4.491868
ENSMUSG00000029409,U90926,ncRNA,2.845984,3.414217,5.636365
ENSMUSG00000021484,Lman2,protein-coding,6.860827,5.914884,8.267524
ENSMUSG00000022132,Cldn10,protein-coding,9.237627,2.958357,7.657075
ENSMUSG00000071815,Fthl17e,protein-coding,1.447063,3.214804,4.653371
ENSMUSG00000032698,Lmo2,protein-coding,4.577539,4.020426,7.328151
ENSMUSG00000094511,Gm21693,protein-coding,3.344784,3.013353,3.563364
ENSMUSG00000029771,Irf5,protein-coding,6.752396,7.347106,7.573413
ENSMUSG00000099006,Mir6974,ncRNA,6.104645,9.716178,9.682308
ENSMUSG00000067786,Nnat,protein-coding,2.347644,4.015513,4.85085
ENSMUSG00000010751,Tnfrsf22,protein-coding,2.092308,-1.235154,1.316117
ENSMUSG00000029772,Ahcyl2,protein-coding,9.237627,6.586373,7.871207
ENSMUSG00000030304,Ergic2,protein-coding,4.028579,2.152015,4.963053
ENSMUSG00000012705,Retn,protein-coding,8.409329,8.979108,9.714161
ENSMUSG00000049241,Hcar1,protein-coding,5.331216,1.786656,2.806406
ENSMUSG00000022136,Dnajc3,protein-coding,5.37187,5.629766,4.571282
ENSMUSG00000018189,Uchl5,protein-coding,3.029037,3.621985,4.612743
ENSMUSG00000027351,Spred1,protein-coding,3.029037,-0.147427,0.620575
ENSMUSG00000026754,Golga1,protein-coding,4.028579,5.366038,6.022074
ENSMUSG00000102252,Snrpn,protein-coding,9.30991,4.600414,4.490572
ENSMUSG00000101609,Kcnq1ot1,ncRNA,3.10132,2.873196,4.316972
ENSMUSG00000034612,Chst11,protein-coding,5.577081,2.319726,1.830129
ENSMUSG00000025019,Lcor,protein-coding,8.406823,4.24026,5.349619
ENSMUSG00000045930,Clec14a,protein-coding,7.506072,5.581278,3.860194
ENSMUSG00000037049,Smpd1,protein-coding,9.237627,3.988078,6.737318
ENSMUSG00000090470,Prr23a3,protein-coding,5.331216,5.544101,1.519974
ENSMUSG00000061755,Bod1l,protein-coding,3.141975,2.847684,4.355577
ENSMUSG00000027973,1700006A11Rik,protein-coding,5.921591,1.125158,2.805534
ENSMUSG00000045581,Olfr710,protein-coding,2.329872,1.432659,3.181786
,Gm5129,ncRNA,3.163566,3.439318,3.726163
ENSMUSG00000022385,Gtse1,protein-coding,9.991304,6.352241,6.33223
ENSMUSG00000063350,Olfr874,protein-coding,6.860722,6.498342,3.104184
ENSMUSG00000044560,Olfr1302,protein-coding,6.477767,6.582198,6.699982
ENSMUSG00000097184,4632428C04Rik,ncRNA,3.823368,4.276759,5.232573
ENSMUSG00000059273,Zc3h4,protein-coding,3.958392,1.540344,4.622814
ENSMUSG00000000318,Clec10a,protein-coding,7.655653,7.52982,9.955154
ENSMUSG00000042496,Prdm10,protein-coding,1.297482,5.255646,6.549697
ENSMUSG00000056978,Hamp2,protein-coding,-0.096828,1.381932,1.888706
ENSMUSG00000024457,Trim26,protein-coding,6.860827,7.753889,8.267524
ENSMUSG00000046080,Clec9a,protein-coding,4.63205,3.1703,3.100483
ENSMUSG00000057101,Zfp180,protein-coding,9.30991,3.564125,3.48937
ENSMUSG00000025878,Uimc1,protein-coding,6.10715,3.736438,6.836537
ENSMUSG00000071653,1810009A15Rik,protein-coding,3.992535,4.561153,3.719839
ENSMUSG00000026024,Als2,protein-coding,3.782714,3.062407,4.567107
ENSMUSG00000037070,Rbmxl1,protein-coding,3.048852,7.602157,5.991518
ENSMUSG00000062006,Rpl34,protein-coding,6.477767,2.53248,2.557426
ENSMUSG00000034000,Neu4,protein-coding,5.425652,5.36914,8.106021
ENSMUSG00000021363,Mak,protein-coding,2.241288,7.674882,8.388468
ENSMUSG00000023083,H2-M10.2,protein-coding,2.482173,2.01853,2.33713
ENSMUSG00000006494,Pdk1,protein-coding,3.141975,6.288156,5.745073
,BB123696,ncRNA,4.52267,10.922618,10.874911
ENSMUSG00000052298,Cdc42se2,protein-coding,5.331216,3.043903,1.237527
ENSMUSG00000010830,Kdelr3,protein-coding,7.655548,3.931658,4.491868
ENSMUSG00000024962,Vegfb,protein-coding,5.57468,1.313023,4.628423
ENSMUSG00000021219,Rgs6,protein-coding,4.028579,6.080042,8.861422
ENSMUSG00000035191,Rfpl4,protein-coding,3.11968,0.168891,1.260121
ENSMUSG00000074627,Mroh8,protein-coding,0.656848,3.190681,4.557965
ENSMUSG00000074796,Slc4a11,protein-coding,4.712068,6.436691,4.841222
ENSMUSG00000034098,Fstl5,protein-coding,0.991329,1.600452,1.141567
ENSMUSG00000026668,Ucma,protein-coding,5.423251,7.840943,8.236967
ENSMUSG00000034748,Sirt6,protein-coding,8.556234,6.783038,7.317211
ENSMUSG00000074890,Lcmt2,protein-coding,3.691696,-0.444565,1.831851
ENSMUSG00000026209,Dnpep,protein-coding,8.409329,7.401038,7.096299
ENSMUSG00000028962,Slc4a2,protein-coding,2.446604,1.872203,4.759369
ENSMUSG00000022501,Prm1,protein-coding,4.525071,4.455647,4.166767
ENSMUSG00000038831,Ralgps1,protein-coding,1.579085,3.353964,6.400919
ENSMUSG00000072680,Tmem254c,protein-coding,3.163566,6.126328,4.767711
ENSMUSG00000028710,Atpaf1,protein-coding,5.423251,4.3701,3.329846
ENSMUSG00000024947,Men1,protein-coding,3.089448,1.73236,4.035795
ENSMUSG00000044576,Gareml,protein-coding,3.10132,3.742031,2.780227
ENSMUSG00000062866,Phactr2,protein-coding,5.923992,7.109276,4.439587
,D830030K20Rik,protein-coding,7.506072,6.437788,5.049688
ENSMUSG00000004347,Pde1c,protein-coding,5.423251,4.181574,5.87187
ENSMUSG00000035885,Cox8a,protein-coding,8.409224,3.743757,3.563364
,4931403G20Rik,ncRNA,1.444557,5.106744,6.022074
ENSMUSG00000025492,Ifitm3,protein-coding,8.409224,5.659396,8.698623
ENSMUSG00000037437,Adam32,protein-coding,2.198233,1.988777,2.523061
ENSMUSG00000041459,Tardbp,protein-coding,7.655653,7.654015,9.169808
ENSMUSG00000033543,Gtf2a2,protein-coding,3.782714,3.323414,3.563364
ENSMUSG00000059473,Olfr979,protein-coding,7.506072,6.437788,4.791222
ENSMUSG00000031558,Slit2,protein-coding,5.331216,2.498363,2.813814
ENSMUSG00000022722,Arl6,protein-coding,7.653147,1.186886,2.786765
ENSMUSG00000038876,Rnf146,protein-coding,2.47433,4.453658,1.952796
ENSMUSG00000013495,Tmem175,protein-coding,2.388298,-1.767722,-0.408424
ENSMUSG00000032267,Usp28,protein-coding,6.477767,5.527924,4.699349
ENSMUSG00000097735,D930032P07Rik,ncRNA,8.300898,2.926348,4.318268
ENSMUSG00000051879,Krt71,protein-coding,5.425757,3.829609,5.290681
ENSMUSG00000028936,Rpl22,protein-coding,5.577185,5.1293,4.806972
ENSMUSG00000050697,Prkaa1,protein-coding,5.425757,5.313048,7.012289
ENSMUSG00000026697,Myoc,protein-coding,3.10132,4.913207,6.39531
ENSMUSG00000036390,Gadd45a,protein-coding,8.300898,5.33475,5.036963
ENSMUSG00000026630,Batf3,protein-coding,3.694202,8.049622,3.602624
ENSMUSG00000017404,Rpl19,protein-coding,2.976569,1.273798,3.269971
,Gm10732,ncRNA,3.142079,2.716258,4.006416
ENSMUSG00000025702,8-Mar,protein-coding,5.577185,3.909356,3.570839
ENSMUSG00000014813,Stc1,protein-coding,5.924097,4.387591,6.692507
ENSMUSG00000060254,Olfr980,protein-coding,5.167915,6.616326,6.66686
ENSMUSG00000063157,Csn2,protein-coding,1.581486,6.06933,4.299732
ENSMUSG00000042515,Mum1l1,protein-coding,3.344784,6.171206,5.77275
ENSMUSG00000047897,Ripply2,protein-coding,3.508502,1.825917,5.884579
ENSMUSG00000042389,Tsen2,protein-coding,3.029037,2.204581,1.758534
ENSMUSG00000024503,Spink1,protein-coding,5.331216,2.315986,4.622814
ENSMUSG00000072845,Tmprss11a,protein-coding,9.054574,1.950925,2.248945
ENSMUSG00000028583,Pdpn,protein-coding,2.402155,3.22808,5.030919
ENSMUSG00000021257,Angel1,protein-coding,9.30991,-0.376294,0.79722
ENSMUSG00000038013,Wipf2,protein-coding,5.423251,4.181574,4.699349
,Bub1,protein-coding,4.577539,7.109276,7.337292
ENSMUSG00000096759,Snord116l2,snoRNA,4.577539,3.913969,4.021536
ENSMUSG00000033467,Crlf2,protein-coding,0.898102,2.832355,5.228398
ENSMUSG00000056888,Glipr1,protein-coding,6.071002,8.303713,8.508517
ENSMUSG00000000730,Dnmt3l,protein-coding,3.621919,6.437788,8.525023
,4931403G20Rik,ncRNA,1.444557,5.106744,6.022074
,Emx1,protein-coding,4.028579,6.08566,5.008197
ENSMUSG00000036606,Plxnb2,protein-coding,3.782714,3.844712,3.737838
ENSMUSG00000074264,Amy1,protein-coding,5.604912,5.479144,5.466876
ENSMUSG00000029867,1700034O15Rik,protein-coding,2.482173,-0.252152,0.955977
ENSMUSG00000022971,Ifnar2,protein-coding,4.37549,9.284284,8.786808
,4930412O13Rik,ncRNA,4.577539,3.275669,3.355701
ENSMUSG00000021557,A230056J06Rik,ncRNA,3.782714,1.340369,1.858261
ENSMUSG00000093930,Hmgcs1,protein-coding,4.618299,3.458618,6.615973
ENSMUSG00000058952,Cfi,protein-coding,7.655653,7.654015,9.169808
,Fgf16,protein-coding,8.409329,6.64839,9.712865
ENSMUSG00000027901,Dennd2d,protein-coding,5.923992,5.865321,5.771454
ENSMUSG00000075194,Olfr1049,protein-coding,11.539806,6.054689,5.70787
ENSMUSG00000038909,Kat7,protein-coding,5.331216,7.043997,9.309073
ENSMUSG00000020744,Slc25a19,protein-coding,3.782714,3.323414,3.563364
ENSMUSG00000042404,Dennd4b,protein-coding,9.30991,4.49581,5.870574
,Cks1brt,protein-coding,8.300898,7.214783,8.525023
ENSMUSG00000042709,Atpaf2,protein-coding,3.621919,3.818883,6.158629
ENSMUSG00000024042,Sik1,protein-coding,5.924097,6.721025,5.914053
ENSMUSG00000002602,Axl,protein-coding,5.331216,3.107309,4.072396
ENSMUSG00000020182,Ddc,protein-coding,8.409224,3.846112,6.333526
ENSMUSG00000034462,Pkd2,protein-coding,5.923992,4.359703,7.012289
ENSMUSG00000034473,Sec22a,protein-coding,6.104645,3.960809,4.035795
ENSMUSG00000025702,8-Mar,protein-coding,5.577185,3.909356,3.570839
ENSMUSG00000019916,P4ha1,protein-coding,3.730245,4.49581,5.870574
ENSMUSG00000033213,AA467197,protein-coding,6.860827,8.252879,9.714161
ENSMUSG00000073878,Gm13304,protein-coding,9.054574,6.933228,7.709705
ENSMUSG00000066892,Fbxl12,protein-coding,4.63205,3.272593,4.99488
ENSMUSG00000030268,Bcat1,protein-coding,3.782714,0.797026,0.693917
ENSMUSG00000024647,Cbln2,protein-coding,3.048852,4.093062,5.291977
ENSMUSG00000022372,Sla,protein-coding,5.924097,5.69037,7.863732
ENSMUSG00000063406,Tmed5,protein-coding,9.30991,3.174135,4.888185
ENSMUSG00000041594,Tmtc4,protein-coding,4.52267,2.090948,4.475615
ENSMUSG00000078429,Ctdsp2,protein-coding,4.52267,2.839651,4.720764
,Pigv,protein-coding,10.786129,13.214021,12.320252
ENSMUSG00000100625,1700016G22Rik,ncRNA,5.371975,7.251959,5.701852
,4932702P03Rik,ncRNA,4.712068,0.423243,1.481513
ENSMUSG00000020283,Pex13,protein-coding,4.577539,4.680101,6.308704
ENSMUSG00000079852,Klra4,protein-coding,8.300898,3.109297,3.046527
ENSMUSG00000025808,Ccdc7a,protein-coding,4.712068,1.552576,4.789926
ENSMUSG00000028137,Celf3,protein-coding,6.071002,5.789204,5.466876
ENSMUSG00000031433,Rbm41,protein-coding,5.331216,4.455647,4.295557
ENSMUSG00000042729,Wdr74,protein-coding,7.655548,1.567205,2.221212
ENSMUSG00000039456,Morc3,protein-coding,0.82781,0.595899,1.483599
ENSMUSG00000032060,Cryab,protein-coding,2.388403,4.326311,6.421711
ENSMUSG00000036932,Aifm1,protein-coding,6.860722,4.011275,4.615339
ENSMUSG00000016283,H2-M2,protein-coding,10.786129,10.612557,10.874911
,G6pd2,protein-coding,5.37187,9.921109,10.471119
ENSMUSG00000022002,Erich6b,protein-coding,2.200739,1.254596,2.805109
ENSMUSG00000025551,Fgf14,protein-coding,2.238992,1.165418,2.028377
ENSMUSG00000099353,1700031M16Rik,ncRNA,3.782714,4.759108,2.544476
,5430403N17Rik,ncRNA,8.556234,3.142018,2.179878
ENSMUSG00000022673,Mcm4,protein-coding,6.752396,5.121067,5.050984
ENSMUSG00000026594,Ralgps2,protein-coding,3.069796,4.045413,6.804711
ENSMUSG00000055202,Zfp811,protein-coding,4.63205,4.714028,7.846259
ENSMUSG00000026123,Plekhb2,protein-coding,5.425652,4.331123,4.439587
ENSMUSG00000010047,Hyal2,protein-coding,7.655653,8.832599,9.953858
ENSMUSG00000031154,Otud5,protein-coding,3.730245,4.755104,5.870574
ENSMUSG00000046295,Ankle1,protein-coding,4.712068,2.761136,4.920012
ENSMUSG00000023216,Epb42,protein-coding,3.34729,4.672484,3.083528
ENSMUSG00000071005,Ccl19,protein-coding,6.179329,9.285257,8.79226
ENSMUSG00000021913,Ogdhl,protein-coding,5.278747,3.454083,7.657075
ENSMUSG00000101634,1700066B17Rik,ncRNA,8.556234,6.040782,8.861422
ENSMUSG00000019971,Cep290,protein-coding,2.198233,2.791288,2.38061
ENSMUSG00000034460,Six4,protein-coding,9.054574,3.593135,4.920012
ENSMUSG00000079407,1700110I01Rik,ncRNA,3.823368,1.020732,3.518185
ENSMUSG00000015846,Rxra,protein-coding,3.029037,3.960809,5.036963
ENSMUSG00000095814,Gm14374,protein-coding,9.054574,3.245354,3.625124
ENSMUSG00000029678,Hyal5,protein-coding,4.375595,7.03672,7.863732
ENSMUSG00000032011,Thy1,protein-coding,3.11968,0.355494,1.858261
ENSMUSG00000039377,Hlx,protein-coding,9.054574,5.544101,3.470703
ENSMUSG00000025934,Gsta3,protein-coding,8.409224,6.188282,6.33223
,BC052688,pseudo,9.991304,5.154812,4.645896
ENSMUSG00000024142,Mlst8,protein-coding,3.694202,0.8969,3.214909
ENSMUSG00000073421,H2-Ab1,protein-coding,8.406823,6.161054,4.307345
ENSMUSG00000062232,Rapgef2,protein-coding,1.487717,5.051803,6.023371
,4921525O09Rik,ncRNA,3.730245,6.040782,5.391197
ENSMUSG00000039021,Ttc16,protein-coding,9.237627,2.796922,5.290681
ENSMUSG00000056910,Vmn2r107,protein-coding,4.712068,5.861146,6.263068
ENSMUSG00000053030,Spink2,protein-coding,5.921591,4.49581,5.870574
ENSMUSG00000038691,Mbd3l1,protein-coding,2.499072,6.919051,6.692507
ENSMUSG00000031893,Tsnaxip1,protein-coding,3.141975,4.5176,6.135548
ENSMUSG00000040537,Adam22,protein-coding,3.347185,3.524864,3.32237
ENSMUSG00000040506,Ambra1,protein-coding,5.923992,6.513643,5.411625
ENSMUSG00000039563,2210406O10Rik,ncRNA,5.57468,5.443289,2.994246
ENSMUSG00000020363,Gfpt2,protein-coding,3.727739,5.617645,5.466782
ENSMUSG00000035258,Abi3bp,protein-coding,3.141975,4.143598,1.642363
ENSMUSG00000093973,Mrgpra2a,protein-coding,9.991304,6.636938,8.26882
ENSMUSG00000094289,Olfr470,protein-coding,3.089448,-1.850664,3.181786
ENSMUSG00000045969,Ing1,protein-coding,4.028683,1.323176,1.528064
ENSMUSG00000026114,Cnga3,protein-coding,6.824679,2.05681,0.488093
ENSMUSG00000028396,2310002L09Rik,protein-coding,1.444557,-0.239638,2.804238
ENSMUSG00000027168,Pax6,protein-coding,8.556234,5.750925,7.315914
ENSMUSG00000023092,Fhl1,protein-coding,6.860827,8.252879,9.714161
,1700057H15Rik,ncRNA,2.940525,2.466959,3.183082
ENSMUSG00000024411,Aqp4,protein-coding,3.727844,6.365111,6.322021
,Far1os,ncRNA,2.974063,-0.02262,2.02708
ENSMUSG00000048981,Krt31,protein-coding,2.444098,2.066469,3.366658
ENSMUSG00000052382,Rnase9,protein-coding,3.782714,10.241566,10.237601
ENSMUSG00000021469,Msx2,protein-coding,1.799907,2.363441,4.006416
ENSMUSG00000022906,Parp9,protein-coding,5.331216,7.410135,8.545815
ENSMUSG00000032446,Eomes,protein-coding,4.577539,6.288156,5.889702
ENSMUSG00000026240,Cops7b,protein-coding,5.423251,3.323414,3.563364
ENSMUSG00000053825,Ppfia2,protein-coding,5.425757,2.349312,4.099374
,Gm20741,pseudo,4.712068,1.727808,2.161109
ENSMUSG00000037894,H2afz,protein-coding,3.727739,-1.008852,2.95741
ENSMUSG00000006304,Arpc2,protein-coding,2.402155,7.964075,9.169808
ENSMUSG00000024515,Smad4,protein-coding,5.37187,7.29657,7.253283
ENSMUSG00000062524,Ncr1,protein-coding,6.176928,7.102737,6.263068
ENSMUSG00000041559,Fmod,protein-coding,2.886638,1.854183,4.622814
ENSMUSG00000044702,Palb2,protein-coding,5.425757,7.093099,7.317211
,Cntnap2,protein-coding,6.860827,7.723993,8.26882
